"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"4772.074",,"ARENA_DISTANCES","DARK",79,0,0,6,0,1038,0,0,201,0,6,737,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.001221,0.000000,0.000000,10.770813,0.000000,0.000000,0.019836,0.000000
"4832.100",,"ARENA_DISTANCES","DARK",80,0,0,0,0,1411,0,0,137,0,0,721,57,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.002243,0.000000,0.000000,6.622437,0.000000,0.000000,0.014923,0.005707
"4892.117",,"ARENA_DISTANCES","DARK",81,0,0,0,0,931,0,0,37,0,0,584,12,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.003632,0.000000,0.000000,0.003082,0.000000,0.000000,0.032043,0.000595
"4952.142",,"ARENA_DISTANCES","DARK",82,0,0,0,0,171,0,0,12,0,0,437,6,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000198,0.000000,0.000000,0.000000,0.000000,0.000000,13.281937,0.000000
"5012.164",,"ARENA_DISTANCES","DARK",83,0,0,85,218,0,0,0,19,0,0,510,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000061,0.001038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008469,0.000000
"5072.181",,"ARENA_DISTANCES","DARK",84,0,0,188,354,0,0,0,26,0,0,425,13,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001083,0.000443
"5132.208",,"ARENA_DISTANCES","DARK",85,0,0,503,392,0,0,0,19,0,0,468,6,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,1.963440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031830,0.000000
"5192.229",,"ARENA_DISTANCES","DARK",86,0,0,437,387,0,0,0,6,0,0,497,6,"ARENA_ACTIVITY",0.000000,0.000000,0.000381,0.000031,0.000000,0.000000,0.000000,0.006973,0.000000,0.000000,0.003876,0.000000
"5252.247",,"ARENA_DISTANCES","DARK",87,0,0,302,228,12,0,0,0,0,0,620,0,"ARENA_ACTIVITY",0.000000,0.000000,0.008514,0.001984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029922,0.000000
"5312.292",,"ARENA_DISTANCES","DARK",88,0,0,92,140,0,0,0,6,0,0,502,0,"ARENA_ACTIVITY",0.000000,0.000000,0.015335,0.001877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002701,0.000000
